testcase,scheme,ALLOW_LOCAL_URLS,NO_FRAGMENTS,ALLOW_2_SLASHES,ALLOW_ALL_SCHEMES,regex,file, http://example.org,http://example.org/a b,http://example.org/"%<>\^`{|},http://example.org/a-umlaut-ä,http://a-umlaut-ä.org/,http://[FEDC:BA98:7654:3210:FEDC:BA98:7654:3210]/,http://a[b].example.org/,opaquelocktoken:5fe6e7e0-1bb3-11df-9f3e-a5b17f9068f4,urn:ietf:rfc:3986
0,{[http][https]},OFF,OFF,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
1,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
2,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
3,{[http][https][ftp]},OFF,OFF,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
4,{[http][https][ftp]},OFF,OFF,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
5,{[http][https][ftp]},OFF,OFF,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
6,{[http][https][ftp]},OFF,ON,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
7,{[http][https][ftp]},OFF,ON,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
8,{[http][https][ftp]},OFF,ON,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
9,{[http][https][ftp]},OFF,ON,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
10,{[http][https][ftp]},ON,OFF,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
11,{[http][https][ftp]},ON,OFF,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
12,{[http][https][ftp]},ON,OFF,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
13,{[http][https][ftp]},ON,OFF,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
14,{[http][https][ftp]},ON,ON,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
15,{[http][https][ftp]},ON,ON,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
16,{[http][https][ftp]},ON,ON,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
17,{[http][https][ftp]},ON,ON,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
18,{[http][https]},OFF,OFF,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
19,{[http][https]},OFF,OFF,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
20,{[http][https]},OFF,OFF,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
21,{[http][https]},OFF,OFF,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
22,{[http][https]},OFF,ON,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
23,{[http][https]},OFF,ON,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
24,{[http][https]},OFF,ON,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
25,{[http][https]},OFF,ON,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
26,{[http][https]},ON,OFF,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
27,{[http][https]},ON,OFF,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
28,{[http][https]},ON,OFF,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
29,{[http][https]},ON,OFF,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
30,{[http][https]},ON,ON,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
31,{[http][https]},ON,ON,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
32,{[http][https]},ON,ON,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
33,{[http][https]},ON,ON,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false
34,{[http][https][ftp]},OFF,OFF,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
35,{[http][https][ftp]},OFF,OFF,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
36,{[http][https][ftp]},OFF,OFF,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
37,{[http][https][ftp]},OFF,OFF,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
38,{[http][https][ftp]},OFF,ON,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
39,{[http][https][ftp]},OFF,ON,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
40,{[http][https][ftp]},OFF,ON,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
41,{[http][https][ftp]},OFF,ON,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
42,{[http][https][ftp]},ON,OFF,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
43,{[http][https][ftp]},ON,OFF,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
44,{[http][https][ftp]},ON,OFF,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
45,{[http][https][ftp]},ON,OFF,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
46,{[http][https][ftp]},ON,ON,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
47,{[http][https][ftp]},ON,ON,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
48,{[http][https][ftp]},ON,ON,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
49,{[http][https][ftp]},ON,ON,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
50,{[http][https]},OFF,OFF,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
51,{[http][https]},OFF,OFF,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
52,{[http][https]},OFF,OFF,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
53,{[http][https]},OFF,OFF,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
54,{[http][https]},OFF,ON,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
55,{[http][https]},OFF,ON,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
56,{[http][https]},OFF,ON,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
57,{[http][https]},OFF,ON,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
58,{[http][https]},ON,OFF,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
59,{[http][https]},ON,OFF,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
60,{[http][https]},ON,OFF,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
61,{[http][https]},ON,OFF,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
62,{[http][https]},ON,ON,OFF,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
63,{[http][https]},ON,ON,OFF,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
64,{[http][https]},ON,ON,ON,OFF,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
65,{[http][https]},ON,ON,ON,ON,^[\w-\\.]*$,false,false,false,false,false,false,false,false,false,false
66,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false
