testcase,scheme,ALLOW_LOCAL_URLS,NO_FRAGMENTS,ALLOW_2_SLASHES,ALLOW_ALL_SCHEMES,regex,http://www.ietf.org//rfc//rfc2396.txt,http://www.w3.org//Addressing//
0,{[http][https]},OFF,OFF,OFF,OFF,DEFAULT,false,false
1,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,false,false
2,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,false,false
3,{[http][https][ftp]},OFF,OFF,OFF,ON,DEFAULT,false,false
4,{[http][https][ftp]},OFF,OFF,ON,OFF,DEFAULT,true,true
5,{[http][https][ftp]},OFF,OFF,ON,ON,DEFAULT,true,true
6,{[http][https][ftp]},OFF,ON,OFF,OFF,DEFAULT,false,false
7,{[http][https][ftp]},OFF,ON,OFF,ON,DEFAULT,false,false
8,{[http][https][ftp]},OFF,ON,ON,OFF,DEFAULT,true,true
9,{[http][https][ftp]},OFF,ON,ON,ON,DEFAULT,true,true
10,{[http][https][ftp]},ON,OFF,OFF,OFF,DEFAULT,false,false
11,{[http][https][ftp]},ON,OFF,OFF,ON,DEFAULT,false,false
12,{[http][https][ftp]},ON,OFF,ON,OFF,DEFAULT,true,true
13,{[http][https][ftp]},ON,OFF,ON,ON,DEFAULT,true,true
14,{[http][https][ftp]},ON,ON,OFF,OFF,DEFAULT,false,false
15,{[http][https][ftp]},ON,ON,OFF,ON,DEFAULT,false,false
16,{[http][https][ftp]},ON,ON,ON,OFF,DEFAULT,true,true
17,{[http][https][ftp]},ON,ON,ON,ON,DEFAULT,true,true
18,{[http][https]},OFF,OFF,OFF,OFF,DEFAULT,false,false
19,{[http][https]},OFF,OFF,OFF,ON,DEFAULT,false,false
20,{[http][https]},OFF,OFF,ON,OFF,DEFAULT,true,true
21,{[http][https]},OFF,OFF,ON,ON,DEFAULT,true,true
22,{[http][https]},OFF,ON,OFF,OFF,DEFAULT,false,false
23,{[http][https]},OFF,ON,OFF,ON,DEFAULT,false,false
24,{[http][https]},OFF,ON,ON,OFF,DEFAULT,true,true
25,{[http][https]},OFF,ON,ON,ON,DEFAULT,true,true
26,{[http][https]},ON,OFF,OFF,OFF,DEFAULT,false,false
27,{[http][https]},ON,OFF,OFF,ON,DEFAULT,false,false
28,{[http][https]},ON,OFF,ON,OFF,DEFAULT,true,true
29,{[http][https]},ON,OFF,ON,ON,DEFAULT,true,true
30,{[http][https]},ON,ON,OFF,OFF,DEFAULT,false,false
31,{[http][https]},ON,ON,OFF,ON,DEFAULT,false,false
32,{[http][https]},ON,ON,ON,OFF,DEFAULT,true,true
33,{[http][https]},ON,ON,ON,ON,DEFAULT,true,true
34,{[http][https][ftp]},OFF,OFF,OFF,OFF,^[\w-\\.]*$,false,false
35,{[http][https][ftp]},OFF,OFF,OFF,ON,^[\w-\\.]*$,false,false
36,{[http][https][ftp]},OFF,OFF,ON,OFF,^[\w-\\.]*$,true,true
37,{[http][https][ftp]},OFF,OFF,ON,ON,^[\w-\\.]*$,true,true
38,{[http][https][ftp]},OFF,ON,OFF,OFF,^[\w-\\.]*$,false,false
39,{[http][https][ftp]},OFF,ON,OFF,ON,^[\w-\\.]*$,false,false
40,{[http][https][ftp]},OFF,ON,ON,OFF,^[\w-\\.]*$,true,true
41,{[http][https][ftp]},OFF,ON,ON,ON,^[\w-\\.]*$,true,true
42,{[http][https][ftp]},ON,OFF,OFF,OFF,^[\w-\\.]*$,false,false
43,{[http][https][ftp]},ON,OFF,OFF,ON,^[\w-\\.]*$,false,false
44,{[http][https][ftp]},ON,OFF,ON,OFF,^[\w-\\.]*$,true,true
45,{[http][https][ftp]},ON,OFF,ON,ON,^[\w-\\.]*$,true,true
46,{[http][https][ftp]},ON,ON,OFF,OFF,^[\w-\\.]*$,false,false
47,{[http][https][ftp]},ON,ON,OFF,ON,^[\w-\\.]*$,false,false
48,{[http][https][ftp]},ON,ON,ON,OFF,^[\w-\\.]*$,true,true
49,{[http][https][ftp]},ON,ON,ON,ON,^[\w-\\.]*$,true,true
50,{[http][https]},OFF,OFF,OFF,OFF,^[\w-\\.]*$,false,false
51,{[http][https]},OFF,OFF,OFF,ON,^[\w-\\.]*$,false,false
52,{[http][https]},OFF,OFF,ON,OFF,^[\w-\\.]*$,true,true
53,{[http][https]},OFF,OFF,ON,ON,^[\w-\\.]*$,true,true
54,{[http][https]},OFF,ON,OFF,OFF,^[\w-\\.]*$,false,false
55,{[http][https]},OFF,ON,OFF,ON,^[\w-\\.]*$,false,false
56,{[http][https]},OFF,ON,ON,OFF,^[\w-\\.]*$,true,true
57,{[http][https]},OFF,ON,ON,ON,^[\w-\\.]*$,true,true
58,{[http][https]},ON,OFF,OFF,OFF,^[\w-\\.]*$,false,false
59,{[http][https]},ON,OFF,OFF,ON,^[\w-\\.]*$,false,false
60,{[http][https]},ON,OFF,ON,OFF,^[\w-\\.]*$,true,true
61,{[http][https]},ON,OFF,ON,ON,^[\w-\\.]*$,true,true
62,{[http][https]},ON,ON,OFF,OFF,^[\w-\\.]*$,false,false
63,{[http][https]},ON,ON,OFF,ON,^[\w-\\.]*$,false,false
64,{[http][https]},ON,ON,ON,OFF,^[\w-\\.]*$,true,true
65,{[http][https]},ON,ON,ON,ON,^[\w-\\.]*$,true,true
66,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,false,false
