testcase,scheme,ALLOW_LOCAL_URLS,NO_FRAGMENTS,ALLOW_2_SLASHES,ALLOW_ALL_SCHEMES,regex,http://foo.com/blah_(wikipedia)#cite-1,http://foo.com/blah_(wikipedia)_blah#cite-1,https://foo.com/blah_blah#,http://www.ics.uci.edu/pub/ietf/uri/historical.html#WARNING,http://example.org/foo/bar;param?query#frag,http://example.org/a#b#c,http://example.org/a#b c,http://foo.com/blah_(wikipedia)_blah#cite-1,http://code.google.com/events/#&product=browser,http://foo.com/blah_(wikipedia)#cite-1,http://example.org/a#b#c,http://example.org/a#b c
0,{[http][https]},OFF,OFF,OFF,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
1,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
2,{[http][https][ftp]},OFF,OFF,OFF,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
3,{[http][https][ftp]},OFF,OFF,OFF,ON,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
4,{[http][https][ftp]},OFF,OFF,ON,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
5,{[http][https][ftp]},OFF,OFF,ON,ON,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
6,{[http][https][ftp]},OFF,ON,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
7,{[http][https][ftp]},OFF,ON,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
8,{[http][https][ftp]},OFF,ON,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
9,{[http][https][ftp]},OFF,ON,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
10,{[http][https][ftp]},ON,OFF,OFF,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
11,{[http][https][ftp]},ON,OFF,OFF,ON,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
12,{[http][https][ftp]},ON,OFF,ON,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
13,{[http][https][ftp]},ON,OFF,ON,ON,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
14,{[http][https][ftp]},ON,ON,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
15,{[http][https][ftp]},ON,ON,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
16,{[http][https][ftp]},ON,ON,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
17,{[http][https][ftp]},ON,ON,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
18,{[http][https]},OFF,OFF,OFF,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
19,{[http][https]},OFF,OFF,OFF,ON,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
20,{[http][https]},OFF,OFF,ON,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
21,{[http][https]},OFF,OFF,ON,ON,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
22,{[http][https]},OFF,ON,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
23,{[http][https]},OFF,ON,OFF,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
24,{[http][https]},OFF,ON,ON,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
25,{[http][https]},OFF,ON,ON,ON,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
26,{[http][https]},ON,OFF,OFF,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
27,{[http][https]},ON,OFF,OFF,ON,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
28,{[http][https]},ON,OFF,ON,OFF,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
29,{[http][https]},ON,OFF,ON,ON,DEFAULT,true,true,true,true,true,true,true,true,true,true,true,true
30,{[http][https]},ON,ON,OFF,OFF,DEFAULT,false,false,false,false,false,false,false,false,false,false,false,false
